Administering_IC_K99,Congressional_District_K99,Department_K99,Organization_Name_K99,Organization_City_K99,Organization_State_K99,Organization_Type_K99,Funding_IC.s._K99,K99_inst_pub_priv,same_dept,same_insti,Administering_IC_R00,Congressional_District_R00,Department_R00,Organization_Name_R00,Organization_City_R00,Organization_State_R00,Organization_Type_R00,Fiscal_Year_R00,Funding_IC.s._R00,R00_inst_pub_priv,Grant_type,Retained_Y_N,years_to_obtain_R01,Obtained_R01,ga_gender,K99_pub_priv,R00_pub_priv,Top_25_NIH_funding_K99,Top_25_NIH_funding_R00
NIA,13,BIOLOGY,U_OF_CALIFORNIA_BERKELEY_K99,BERKELEY,CA,ORGANIZED RESEARCH UNITS,NIA,public,TRUE,TRUE,NIA,13,BIOLOGY,U_OF_CALIFORNIA_BERKELEY_R00,BERKELEY,CA,ORGANIZED RESEARCH UNITS,2010,NIA,public,R01,STAYED,2,YES,male,public,public,NO,NO
NIEHS,25,PUBLIC HEALTH & PREV MEDICINE,U_OF_ROCHESTER_K99,ROCHESTER,NY,SCHOOL OF MEDICINE & DENTISTRY,NIEHS,private,FALSE,FALSE,NIEHS,4,UnavaiLABle,U_OF_WISCONSIN_MILWAUKEE_R00,MILWAUKEE,WI,Domestic Higher Education,2010,NIEHS,Public,Unknown,LEFT,13,NO,male,private,Public,NO,NO
NIAID,20,PUBLIC HEALTH & PREV MEDICINE,U_OF_CALIFORNIA_SANTA_CRUZ_K99,SANTA CRUZ,CA,SCHOOLS OF ARTS AND SCIENCES,NIAID,public,FALSE,FALSE,NIAID,9,BIOLOGY,VIRGINIA_POLYTECHNIC_INST_&_ST_U_R00,BLACKSBURG,VA,SCHOOLS OF ARTS AND SCIENCES,2022,NIAID,Public,Unknown,LEFT,0,NO,female,public,Public,NO,NO
NHLBI,33,PHYSIOLOGY,U_OF_CALIFORNIA_LOS_ANGELES_K99,LOS ANGELES,CA,SCHOOLS OF MEDICINE,NHLBI,Public,FALSE,FALSE,NHLBI,6,INTERNAL MEDICINE/MEDICINE,U_OF_COLORADO_DENVER_R00,Aurora,CO,SCHOOLS OF MEDICINE,2017,NHLBI,Public,R01,LEFT,1,YES,female,Public,Public,YES,NO
NIAID,10,PUBLIC HEALTH & PREV MEDICINE,U_OF_GEORGIA_K99,ATHENS,GA,ORGANIZED RESEARCH UNITS,NIAID,public,FALSE,FALSE,NIAID,1,BIOLOGY,U_OF_CINCINNATI_R00,CINCINNATI,OH,SCHOOLS OF ARTS AND SCIENCES,2021,NIAID,public,Unknown,LEFT,1,NO,female,public,public,NO,NO
NCRR,49,UnavaiLABle,SCRIPPS_RES_INST_THE_K99,LA JOLLA,CA,Other Domestic Non-Profits,NCRR,Private,FALSE,FALSE,NCRR,4,BIOLOGY,PURDUE_U_R00,WEST LAFAYETTE,IN,SCHOOLS OF ARTS AND SCIENCES,2011,NCRR,Public,Unknown,LEFT,11,NO,male,Private,Public,YES,NO
NHGRI,13,UnavaiLABle,NEW_YORK_STATE_PSY_K99,NEW YORK,NY,Independent Hospitals,NHGRI,Private,FALSE,FALSE,NHGRI,24,SOCIAL SCIENCES,CALIFORNIA_POLY_STATE_U_SAN_LUIS_OBISPO_R00,SAN LUIS OBISPO,CA,SCHOOLS OF ARTS AND SCIENCES,2018,NHGRI,Public,Unknown,LEFT,4,NO,female,Private,Public,NO,NO
NCI,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NCI,Private,FALSE,FALSE,NCI,7,RADIATION-DIAGNOSTIC/ONCOLOGY,U_OF_ALABAMA_AT_BIRMINGHAM_R00,BIRMINGHAM,AL,SCHOOLS OF MEDICINE,2019,NCI,public,DP2,LEFT,1,YES,male,Private,public,YES,NO
NHGRI,5,UnavaiLABle,HUDSON-ALPHA_INST_FOR_BIOTECH_K99,HUNTSVILLE,AL,Research Institutes,NHGRI,Private,FALSE,FALSE,NHGRI,7,ANATOMY/CELL BIOLOGY,U_OF_ALABAMA_AT_BIRMINGHAM_R00,BIRMINGHAM,AL,SCHOOLS OF MEDICINE,2019,NHGRI,public,Unknown,LEFT,4,NO,female,Private,public,NO,NO
NHLBI,18,INTERNAL MEDICINE/MEDICINE,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NHLBI,Private,TRUE,FALSE,NHLBI,6,INTERNAL MEDICINE/MEDICINE,U_OF_COLORADO_DENVER_R00,Aurora,CO,SCHOOLS OF MEDICINE,2020,NHLBI,Public,Unknown,LEFT,2,NO,male,Private,Public,YES,NO
NHLBI,2,INTERNAL MEDICINE/MEDICINE,U_OF_UTAH_K99,SALT LAKE CITY,UT,SCHOOLS OF MEDICINE,NHLBI,public,FALSE,FALSE,NHLBI,2,OTHER HEALTH PROFESSIONS,U_OF_MASSACHUSETTS_AMHERST_R00,HADLEY,MA,SCHOOLS OF PUBLIC HEALTH,2018,NHLBI,Public,Unknown,LEFT,4,NO,male,public,Public,NO,NO
NHGRI,2,GENETICS,U_OF_UTAH_K99,SALT LAKE CITY,UT,SCHOOLS OF MEDICINE,NHGRI,public,FALSE,FALSE,NHGRI,2,MISCELLANEOUS,U_OF_COLORADO_R00,Boulder,CO,ORGANIZED RESEARCH UNITS,2018,NHGRI,Public,R01,LEFT,4,YES,male,public,Public,NO,NO
NIGMS,7,BIOLOGY,NORTHWESTERN_U_K99,Chicago,IL,SCHOOLS OF ARTS AND SCIENCES,NIGMS,Private,TRUE,FALSE,NIGMS,2,BIOLOGY,U_OF_IOWA_R00,IOWA CITY,IA,SCHOOLS OF ARTS AND SCIENCES,2010,NIGMS,Public,Unknown,LEFT,12,NO,female,Private,Public,NO,NO
NIA,2,OTHER HEALTH PROFESSIONS,U_OF_WISCONSIN-MADISON_K99,MADISON,WI,SCHOOLS OF MEDICINE,NIA,public,FALSE,FALSE,NIA,41,SOCIAL SCIENCES,U_OF_CALIFORNIA_RIVERSIDE_R00,RIVERSIDE,CA,SCHOOLS OF ARTS AND SCIENCES,2018,NIA,public,Unknown,LEFT,5,NO,Unknown,public,public,YES,NO
NCI,13,ANATOMY/CELL BIOLOGY,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_K99,NEW YORK,NY,SCHOOLS OF MEDICINE,NCI,Private,FALSE,FALSE,NCI,9,BIOLOGY,U_OF_TEXAS_HLTH_SCI_CTR_HOUSTON_R00,HOUSTON,TX,SCHOOLS OF MEDICINE,2016,NCI,Public,R01,LEFT,6,YES,female,Private,Public,YES,NO
NIGMS,13,UnavaiLABle,U_OF_CALIFORNIA_BERKELEY_K99,BERKELEY,CA,Other Domestic Non-Profits,NIGMS,public,FALSE,FALSE,NIGMS,45,BIOLOGY,U_OF_CALIFORNIA-IRVINE_R00,IRVINE,CA,SCHOOLS OF ARTS AND SCIENCES,2019,NIGMS,Public,R35,LEFT,3,YES,female,public,Public,NO,NO
NCI,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NCI,Private,FALSE,FALSE,NCI,2,ENGINEERING (ALL TYPES),U_OF_MASSACHUSETTS_AMHERST_R00,HADLEY,MA,BIOMED ENGR/COL ENGR/ENGR STA,2014,NCI,Public,R01,LEFT,6,YES,male,Private,Public,YES,NO
NIEHS,3,ZOOLOGY,U_OF_CALIFORNIA_AT_DAVIS_K99,DAVIS,CA,EARTH SCIENCES/RESOURCES,NIEHS,Public,FALSE,FALSE,NIEHS,8,PHARMACOLOGY,MICHIGAN_STATE_U_R00,EAST LANSING,MI,SCHOOLS OF OSTEOPATHIC MEDICINE,2017,NIEHS,Public,R35,LEFT,5,YES,male,Public,Public,NO,NO
NIAAA,4,PSYCHOLOGY,U_OF_MISSOURI-COLUMBIA_K99,COLUMBIA,MO,SCHOOLS OF ARTS AND SCIENCES,NIAAA,Public,TRUE,FALSE,NIAAA,6,PSYCHOLOGY,RUTGERS_THE_STATE_U_OF_NJ_R00,PISCATAWAY,NJ,SCHOOLS OF ARTS AND SCIENCES,2018,NIAAA,Public,Unknown,LEFT,4,NO,male,Public,Public,NO,NO
NHLBI,3,PHARMACOLOGY,YALE_U_K99,NEW HAVEN,CT,SCHOOLS OF MEDICINE,NHLBI,Private,FALSE,FALSE,NHLBI,7,PHYSIOLOGY,U_OF_ILLINOIS_AT_CHICAGO_R00,Chicago,IL,SCHOOLS OF MEDICINE,2019,NHLBI,Public,Unknown,LEFT,4,NO,female,Private,Public,YES,NO
NHLBI,4,INTERNAL MEDICINE/MEDICINE,DUKE_U_K99,DURHAM,NC,SCHOOLS OF MEDICINE,NHLBI,Private,FALSE,FALSE,NHLBI,3,PHARMACOLOGY,OHIO_STATE_U_R00,COLUMBUS,OH,SCHOOLS OF PHARMACY,2012,NHLBI,Public,R01,LEFT,3,YES,male,Private,Public,YES,NO
NHLBI,33,PATHOLOGY,U_OF_CALIFORNIA_LOS_ANGELES_K99,LOS ANGELES,CA,SCHOOLS OF MEDICINE,NHLBI,Public,FALSE,FALSE,NHLBI,6,UnavaiLABle,U_OF_KENTUCKY_R00,LEXINGTON,KY,Domestic Higher Education,2013,NHLBI,Public,Unknown,LEFT,9,NO,Unknown,Public,Public,YES,NO
NIBIB,1,GENETICS,U_OF_CHICAGO_K99,CHICAGO,IL,SCHOOLS OF MEDICINE,NIBIB,private,FALSE,FALSE,NIBIB,7,PHARMACOLOGY,U_OF_ILLINOIS_AT_CHICAGO_R00,Chicago,IL,SCHOOLS OF PHARMACY,2019,NIBIB,Public,R35,LEFT,3,YES,male,private,Public,NO,NO
NIGMS,18,PHYSICS,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF ARTS AND SCIENCES,NIGMS,Private,FALSE,FALSE,NIGMS,12,CHEMISTRY,PENNSYLVANIA_STATE_R00,UNIVERSITY PARK,PA,SCHOOLS OF ARTS AND SCIENCES,2008,NIGMS,Public,R01,LEFT,6,YES,male,Private,Public,YES,NO
NIDDK,12,INTERNAL MEDICINE/MEDICINE,U_OF_MICHIGAN_AT_ANN_ARBOR_K99,ANN ARBOR,MI,SCHOOLS OF MEDICINE,NIDDK,Public,FALSE,FALSE,NIDDK,8,PHYSIOLOGY,MICHIGAN_STATE_U_R00,EAST LANSING,MI,SCHOOLS OF ARTS AND SCIENCES,2012,NIDDK,Public,R01,LEFT,3,YES,female,Public,Public,YES,NO
NIMH,12,PSYCHOLOGY,PRINCETON_U_K99,Princeton,NJ,SCHOOLS OF ARTS AND SCIENCES,NIMH,Private,TRUE,FALSE,NIMH,3,PSYCHOLOGY,OHIO_STATE_U_R00,COLUMBUS,OH,SCHOOLS OF ARTS AND SCIENCES,2011,NIMH,Public,Unknown,LEFT,12,NO,female,Private,Public,NO,NO
NIDA,3,NEUROSCIENCES,OREGON_HEALTH_&_SCI_U_K99,PORTLAND,OR,OVERALL MEDICAL,NIDA,Public,FALSE,FALSE,NIDA,3,PHARMACOLOGY,U_OF_FLORIDA_R00,GAINESVILLE,FL,SCHOOLS OF MEDICINE,2017,NIDA,public,R01,LEFT,3,YES,female,Public,public,NO,NO
NICHD,7,UnavaiLABle,TRANSLATIONAL_GENOMICS_RES_INST_K99,PHOENIX,AZ,Other Domestic Non-Profits,NICHD,Private,FALSE,FALSE,NICHD,9,OTHER BASIC SCIENCES,ARIZONA_STATE_U-TEMPE_CAMPUS_R00,TEMPE,AZ,SCHOOLS OF ARTS AND SCIENCES,2022,NICHD,Public,Unknown,LEFT,1,NO,female,Private,Public,NO,NO
NIGMS,3,ANATOMY/CELL BIOLOGY,U_OF_CALIFORNIA_AT_DAVIS_K99,DAVIS,CA,SCHOOLS OF MEDICINE,NIGMS,Public,FALSE,FALSE,NIGMS,13,BIOCHEMISTRY,U_OF_CALIFORNIA_BERKELEY_R00,BERKELEY,CA,SCHOOLS OF ARTS AND SCIENCES,2020,NIGMS,public,R35,LEFT,3,YES,female,Public,public,NO,NO
NIDCD,3,NEUROSCIENCES,OREGON_HEALTH_&_SCI_U_K99,PORTLAND,OR,OVERALL MEDICAL,NIDCD,Public,FALSE,FALSE,NIDCD,2,BIOLOGY,U_OF_MASSACHUSETTS_AMHERST_R00,HADLEY,MA,SCHOOLS OF ARTS AND SCIENCES,2012,NIDCD,Public,R01,LEFT,7,YES,female,Public,Public,NO,NO
NIEHS,12,CHEMISTRY,U_OF_MICHIGAN_AT_ANN_ARBOR_K99,ANN ARBOR,MI,SCHOOLS OF ARTS AND SCIENCES,NIEHS,Public,TRUE,FALSE,NIEHS,7,CHEMISTRY,INDIANA_U-PURDUE_U_AT_INDIANAPOLIS_R00,INDIANAPOLIS,IN,SCHOOLS OF ARTS AND SCIENCES,2009,NIEHS,Public,R01,LEFT,3,YES,male,Public,Public,YES,NO
NIAID,7,INTERNAL MEDICINE/MEDICINE,JOHNS_HOPKINS_U_K99,BALTIMORE,MD,SCHOOLS OF MEDICINE,NIAID,Private,FALSE,FALSE,NIAID,4,DENTISTRY,VIRGINIA_COMMONWEALTH_U_R00,RICHMOND,VA,SCHOOLS OF DENTISTRY/ORAL HYGN,2014,NIAID,Public,R01,LEFT,6,YES,male,Private,Public,YES,NO
NIEHS,4,BIOCHEMISTRY,U_OF_NORTH_CAROLINA_CHAPEL_HILL_K99,CHAPEL HILL,NC,SCHOOLS OF MEDICINE,NIEHS,Public,FALSE,FALSE,NIEHS,10,PUBLIC HEALTH & PREV MEDICINE,U_OF_GEORGIA_R00,ATHENS,GA,SCHOOLS OF PUBLIC HEALTH,2020,NIEHS,public,Unknown,LEFT,2,NO,male,Public,public,YES,NO
NICHD,18,ANATOMY/CELL BIOLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NICHD,Private,FALSE,FALSE,NICHD,4,BIOCHEMISTRY,U_OF_OREGON_R00,EUGENE,OR,ORGANIZED RESEARCH UNITS,2015,NICHD,Public,R35,LEFT,4,YES,female,Private,Public,YES,NO
NIDDK,7,UnavaiLABle,JOSLIN_DIABETES_CTR_K99,BOSTON,MA,Research Institutes,NIDDK,Private,FALSE,FALSE,NIDDK,7,PHYSIOLOGY,U_OF_ILLINOIS_AT_CHICAGO_R00,Chicago,IL,SCHOOLS OF MEDICINE,2012,NIDDK,Public,Unknown,LEFT,10,NO,male,Private,Public,NO,NO
NIDDK,1,MICROBIOLOGY/IMMUN/VIROLOGY,WASHINGTON_U_K99,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,NIDDK,Private,FALSE,FALSE,NIDDK,9,OTHER BASIC SCIENCES,ARIZONA_STATE_U-TEMPE_CAMPUS_R00,TEMPE,AZ,SCHOOLS OF ARTS AND SCIENCES,2017,NIDDK,Public,Unknown,LEFT,5,NO,male,Private,Public,YES,NO
NHLBI,1,UnavaiLABle,MAYO_CLINIC_ROCHESTER_K99,ROCHESTER,MN,Other Domestic Non-Profits,NHLBI,Private,FALSE,FALSE,NHLBI,4,NUTRITION,U_OF_MISSOURI-COLUMBIA_R00,COLUMBIA,MO,SCH OF HOME ECON/HUMAN ECOLOGY,2017,NHLBI,Public,R01,LEFT,3,YES,female,Private,Public,NO,NO
NIDDK,52,INTERNAL MEDICINE/MEDICINE,U_OF_CALIFORNIA_SAN_DIEGO_K99,LA JOLLA,CA,SCHOOLS OF MEDICINE,NIDDK,public,FALSE,FALSE,NIDDK,9,UnavaiLABle,U_OF_TX_MD_ANDERSON_CAN_CTR_R00,HOUSTON,TX,Domestic Higher Education,2013,NIDDK,Public,R01,LEFT,5,YES,female,public,Public,YES,NO
NCRR,5,PHARMACOLOGY,VANDERBILT_U_K99,Nashville,TN,SCHOOLS OF MEDICINE,NCRR,Private,FALSE,FALSE,NCRR,2,ANATOMY/CELL BIOLOGY,U_OF_IOWA_R00,IOWA CITY,IA,SCHOOLS OF MEDICINE,2008,NCRR,Public,Unknown,LEFT,14,NO,female,Private,Public,YES,NO
NHLBI,3,NEUROSCIENCES,OREGON_HEALTH_&_SCI_U_K99,PORTLAND,OR,OVERALL MEDICAL,NHLBI,Public,FALSE,FALSE,NHLBI,1,PHYSIOLOGY,U_OF_SOUTH_ALABAMA_R00,MOBILE,AL,SCHOOLS OF MEDICINE,2012,NHLBI,Public,R01,LEFT,7,YES,male,Public,Public,NO,NO
NICHD,45,PEDIATRICS,U_OF_CALIFORNIA-IRVINE_K99,IRVINE,CA,SCHOOLS OF MEDICINE,NICHD,Public,TRUE,TRUE,NICHD,45,PEDIATRICS,U_OF_CALIFORNIA-IRVINE_R00,IRVINE,CA,SCHOOLS OF MEDICINE,2020,NICHD,Public,Unknown,STAYED,3,NO,female,Public,Public,NO,NO
NIAAA,7,PSYCHOLOGY,INDIANA_U-PURDUE_U_AT_INDIANAPOLIS_K99,INDIANAPOLIS,IN,SCHOOLS OF ARTS AND SCIENCES,NIAAA,Public,FALSE,FALSE,NIAAA,1,NEUROSCIENCES,U_OF_NEW_MEXICO_HEALTH_ SCI_CTR_R00,ALBUQUERQUE,NM,SCHOOLS OF MEDICINE,2020,NIAAA,Public,Unknown,LEFT,3,NO,male,Public,Public,NO,NO
NIBIB,18,PEDIATRICS,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NIBIB,Private,FALSE,FALSE,NIBIB,1,BIOMEDICAL ENGINEERING,STATE_U_NEW_YORK_STONY_BROOK_R00,STONY BROOK,NY,BIOMED ENGR/COL ENGR/ENGR STA,2010,NIBIB,Public,R01,LEFT,2,YES,male,Private,Public,YES,NO
NIDA,12,PSYCHIATRY,U_OF_CALIFORNIA_SAN_FRANCISCO_K99,SAN FRANCISCO,CA,SCHOOLS OF MEDICINE,NIDA,public,FALSE,FALSE,NIDA,3,UnavaiLABle,OREGON_HEALTH_&_SCI_U_R00,PORTLAND,OR,Domestic Higher Education,2019,NIDA,Public,R35,LEFT,1,YES,male,public,Public,YES,NO
NIA,7,UnavaiLABle,BOSTON_CHILDRENS_HOSP_K99,BOSTON,MA,Independent Hospitals,NIA,Private,TRUE,FALSE,NIA,2,UnavaiLABle,U_OF_MASSACHUSETTS_MED_SCH_WORCESTER_R00,WORCESTER,MA,Domestic Higher Education,2019,NIA,Public,Unknown,LEFT,3,NO,male,Private,Public,NO,NO
NIA,5,PHYSICAL MEDICINE & REHAB,U_OF_OKLAHOMA_HLTH_SCI_CTR_K99,OKLAHOMA CITY,OK,SCH ALLIED HEALTH PROFESSIONS,NIA,Public,TRUE,TRUE,NIA,5,PHYSICAL MEDICINE & REHAB,U_OF_OKLAHOMA_HLTH_SCI_CTR_R00,OKLAHOMA CITY,OK,SCH ALLIED HEALTH PROFESSIONS,2020,NIA,Public,Unknown,STAYED,2,NO,female,Public,Public,NO,NO
NIAAA,49,UnavaiLABle,SCRIPPS_RES_INST_THE_K99,LA JOLLA,CA,Other Domestic Non-Profits,NIAAA,Private,FALSE,FALSE,NIAAA,7,PSYCHOLOGY,INDIANA_U-PURDUE_U_AT_INDIANAPOLIS_R00,INDIANAPOLIS,IN,SCHOOLS OF ARTS AND SCIENCES,2015,NIAAA,Public,Unknown,LEFT,7,NO,male,Private,Public,YES,NO
NINDS,1,NEUROSCIENCES,BROWN_U_K99,PROVIDENCE,RI,SCHOOLS OF MEDICINE,NINDS,Private,FALSE,FALSE,NINDS,2,VETERINARY SCIENCES,NORTH_CAROLINA_STATE_U_RALEIGH_R00,RALEIGH,NC,SCHOOLS OF VETERINARY MEDICINE,2022,NINDS,Public,Unknown,LEFT,1,NO,male,Private,Public,NO,NO
NHLBI,12,PHARMACOLOGY,AUGUSTA_U_K99,AUGUSTA,GA,SCHOOLS OF MEDICINE,NHLBI,Public,FALSE,FALSE,NHLBI,6,UnavaiLABle,U_OF_KENTUCKY_R00,LEXINGTON,KY,Domestic Higher Education,2013,NHLBI,Public,R01,LEFT,5,YES,female,Public,Public,NO,NO
NIGMS,13,BIOCHEMISTRY,U_OF_CALIFORNIA_BERKELEY_K99,BERKELEY,CA,SCHOOLS OF ARTS AND SCIENCES,NIGMS,public,FALSE,FALSE,NIGMS,3,ANATOMY/CELL BIOLOGY,U_OF_CALIFORNIA_AT_DAVIS_R00,DAVIS,CA,SCHOOLS OF MEDICINE,2012,NIGMS,Public,R01,LEFT,3,YES,female,public,Public,NO,NO
NIAAA,10,BIOCHEMISTRY,U_OF_TEXAS_AT_AUSTIN_K99,AUSTIN,TX,SCHOOLS OF ARTS AND SCIENCES,NIAAA,Public,TRUE,FALSE,NIAAA,3,BIOCHEMISTRY,U_OF_LOUISVILLE_R00,LOUISVILLE,KY,SCHOOLS OF MEDICINE,2018,NIAAA,Public,Unknown,LEFT,5,NO,male,Public,Public,NO,NO
NIBIB,7,UnavaiLABle,BRIGHAM_&_WOMENS_HOSP_K99,BOSTON,MA,Independent Hospitals,NIBIB,Private,FALSE,FALSE,NIBIB,22,ENGINEERING (ALL TYPES),STATE_U_OF_NYBINGHAMTON_R00,BINGHAMTON,NY,BIOMED ENGR/COL ENGR/ENGR STA,2017,NIBIB,Public,Unknown,LEFT,5,NO,male,Private,Public,YES,NO
NIMH,7,NEUROSCIENCES,U_OF_ALABAMA_AT_BIRMINGHAM_K99,BIRMINGHAM,AL,SCHOOLS OF MEDICINE,NIMH,public,TRUE,TRUE,NIMH,7,NEUROSCIENCES,U_OF_ALABAMA_AT_BIRMINGHAM_R00,BIRMINGHAM,AL,SCHOOLS OF MEDICINE,2009,NIMH,public,R01,STAYED,4,YES,female,public,public,NO,NO
NCI,7,GENETICS,JOHNS_HOPKINS_U_K99,BALTIMORE,MD,SCHOOLS OF MEDICINE,NCI,Private,FALSE,FALSE,NCI,30,PATHOLOGY,UT_SOUTHWESTERN_MED_CTR_R00,DALLAS,TX,SCHOOLS OF MEDICINE,2015,NCI,Public,R01,LEFT,5,YES,male,Private,Public,YES,NO
NIA,12,INTERNAL MEDICINE/MEDICINE,WEILL_MED_COLL_OF_CORNELL_U_K99,NEW YORK,NY,SCHOOLS OF MEDICINE,NIA,Private,FALSE,FALSE,NIA,6,NONE,RUTGERS_BIOMED/HEALTH_SCI-RBHS_R00,NEW BRUNSWICK,NJ,OVERALL MEDICAL,2021,NIA,Public,Unknown,LEFT,1,NO,female,Private,Public,NO,NO
NCI,52,UnavaiLABle,LUDWIG_INST_FOR_CANCER_RES_LTD_K99,LA JOLLA,CA,Research Institutes,NCI,Private,FALSE,FALSE,NCI,30,PATHOLOGY,UT_SOUTHWESTERN_MED_CTR_R00,DALLAS,TX,SCHOOLS OF MEDICINE,2019,NCI,Public,Unknown,LEFT,4,NO,male,Private,Public,NO,NO
NCI,7,UnavaiLABle,WHITEHEAD_INST_FOR_BIOMED_RES_K99,CAMBRIDGE,MA,Research Institutes,NCI,Private,FALSE,FALSE,NCI,9,RADIATION-DIAGNOSTIC/ONCOLOGY,U_OF_TX_MD_ANDERSON_CAN_CTR_R00,HOUSTON,TX,HOSPITALS,2010,NCI,Public,R01,LEFT,2,YES,female,Private,Public,NO,NO
NCI,4,MICROBIOLOGY/IMMUN/VIROLOGY,U_OF_NORTH_CAROLINA_CHAPEL_HILL_K99,CHAPEL HILL,NC,SCHOOLS OF MEDICINE,NCI,Public,FALSE,FALSE,NCI,3,GENETICS,U_OF_FLORIDA_R00,GAINESVILLE,FL,SCHOOLS OF MEDICINE,2020,NCI,public,Unknown,LEFT,3,NO,male,Public,public,YES,NO
NCCIH,2,INTERNAL MEDICINE/MEDICINE,U_OF_UTAH_K99,SALT LAKE CITY,UT,SCHOOLS OF MEDICINE,NCCIH,public,FALSE,FALSE,NCCIH,5,NUTRITION,FLORIDA_STATE_U_R00,TALLAHASSEE,FL,SCHOOLS OF ARTS AND SCIENCES,2020,NCCIH,Public,Unknown,LEFT,2,NO,male,public,Public,NO,NO
NCRR,10,NONE,U_OF_GEORGIA_K99,ATHENS,GA,ORGANIZED RESEARCH UNITS,NCRR,public,FALSE,FALSE,NCRR,6,CHEMISTRY,LOUISIANA_STATE_U_A&M_COL_BATON_ROUGE_R00,BATON ROUGE,LA,SCHOOLS OF ARTS AND SCIENCES,2008,NCRR,Public,Unknown,LEFT,14,NO,female,public,Public,NO,NO
NHLBI,14,UnavaiLABle,ALBERT_EINSTEIN_COLL_OF_MED_K99,BRONX,NY,Other Domestic Non-Profits,NHLBI,Private,TRUE,FALSE,NHLBI,6,UnavaiLABle,RBHS_CANCER_INST_OF_NEW_JERSEY_R00,NEW BRUNSWICK,NJ,Domestic Higher Education,2018,NHLBI,Public,Unknown,LEFT,4,NO,female,Private,Public,NO,NO
NIDA,1,NEUROSCIENCES,MED_U_OF_SOUTH_CAROLINA_K99,CHARLESTON,SC,SCHOOLS OF MEDICINE,NIDA,Private,FALSE,FALSE,NIDA,45,OTHER BASIC SCIENCES,U_OF_CALIFORNIA-IRVINE_R00,IRVINE,CA,SCHOOLS OF ARTS AND SCIENCES,2015,NIDA,Public,Unknown,LEFT,8,NO,male,Private,Public,NO,NO
NIEHS,7,BIOSTATISTICS & OTHER MATH SCI,HARVARD_SCH_OF_PUBLIC_HEALTH_K99,BOSTON,MA,SCHOOLS OF PUBLIC HEALTH,NIEHS,Private,TRUE,FALSE,NIEHS,2,BIOSTATISTICS & OTHER MATH SCI,NORTH_CAROLINA_STATE_U_RALEIGH_R00,RALEIGH,NC,EARTH SCIENCES/RESOURCES,2011,NIEHS,Public,Unknown,LEFT,12,NO,male,Private,Public,NO,NO
NCI,9,INTERNAL MEDICINE/MEDICINE,U_OF_TX_MD_ANDERSON_CAN_CTR_K99,HOUSTON,TX,OVERALL MEDICAL,NCI,Public,FALSE,FALSE,NCI,30,OTHER CLINICAL SCIENCES,UT_SOUTHWESTERN_MED_CTR_R00,DALLAS,TX,SCHOOLS OF MEDICINE,2022,NCI,Public,Unknown,LEFT,0,NO,male,Public,Public,NO,NO
NIEHS,37,PUBLIC HEALTH & PREV MEDICINE,U_OF_SOUTHERN_CALIFORNIA_K99,Los Angeles,CA,SCHOOLS OF MEDICINE,NIEHS,Private,TRUE,FALSE,NIEHS,3,PUBLIC HEALTH & PREV MEDICINE,U_OF_FLORIDA_R00,GAINESVILLE,FL,SCHOOLS OF PUBLIC HEALTH,2022,NIEHS,public,Unknown,LEFT,0,NO,female,Private,public,NO,NO
NHLBI,9,PHYSIOLOGY,U_OF_TENNESSEE_HEALTH_SCI_CTR_K99,MEMPHIS,TN,SCHOOLS OF MEDICINE,NHLBI,Public,FALSE,TRUE,NHLBI,9,UnavaiLABle,U_OF_TENNESSEE_HEALTH_SCI_CTR_R00,MEMPHIS,TN,Domestic Higher Education,2016,NHLBI,Public,R01,STAYED,6,YES,male,Public,Public,NO,NO
NICHD,3,NEUROLOGY,OREGON_HEALTH_&_SCI_U_K99,PORTLAND,OR,SCHOOLS OF MEDICINE,NICHD,Public,FALSE,TRUE,NICHD,3,UnavaiLABle,OREGON_HEALTH_&_SCI_U_R00,PORTLAND,OR,Domestic Higher Education,2016,NICHD,Public,Unknown,STAYED,6,NO,female,Public,Public,NO,NO
NCI,12,PATHOLOGY,U_OF_MICHIGAN_AT_ANN_ARBOR_K99,ANN ARBOR,MI,SCHOOLS OF MEDICINE,NCI,Public,TRUE,FALSE,NCI,30,PATHOLOGY,UT_SOUTHWESTERN_MED_CTR_R00,DALLAS,TX,SCHOOLS OF MEDICINE,2015,NCI,Public,R01,LEFT,7,YES,male,Public,Public,YES,NO
NHLBI,3,NONE,OREGON_HEALTH_&_SCI_U_K99,PORTLAND,OR,SCHOOLS OF MEDICINE,NHLBI,Public,FALSE,TRUE,NHLBI,3,UnavaiLABle,OREGON_HEALTH_&_SCI_U_R00,PORTLAND,OR,Domestic Higher Education,2020,NHLBI,Public,DP2,STAYED,2,YES,male,Public,Public,NO,NO
